fl_typ,highway_mpg,make
gas,22,hyundai
gas,28,acura
gas,25,genesis
gas,23,audi
gas,31,mazda
gas,20,gmc
gas,38,hyundai
gas,35,acura
gas,31,genesis
gas,20,cadillac
gas,30,bmw
gas,34,hyundai
gas,24,bmw
gas,30,acura
gas,28,subaru
gas,30,kia
gas,36,mazda
gas,33,audi
gas,28,honda
gas,27,jeep
gas,23,kia
gas,26,land rover
gas,23,hyundai
gas,24,genesis
gas,44,kia
gas,28,hyundai
gas,21,porsche
gas,27,genesis
gas,25,bmw
gas,19,jeep
gas,37,hyundai
gas,23,jaguar
gas,32,hyundai
gas,23,chevrolet
gas,25,land rover
gas,30,mazda
gas,27,subaru
gas,30,jeep
gas,20,audi
gas,25,hyundai
gas,26,jaguar
gas,20,bmw
gas,27,acura
gas,26,hyundai
gas,25,kia
gas,20,land rover
gas,19,audi
gas,28,bmw
gas,23,gmc
diesel,38,audi
gas,34,honda
gas,22,land rover
gas,33,mini
electricity,99,mitsubishi
gas,28,jeep
gas,32,bmw
gas,24,volvo
gas,38,mazda
gas,34,mazda
gas,29,ford
gas,24,porsche
gas,34,bmw
gas,24,audi
gas,24,jaguar
gas,22,audi
gas,28,kia
gas,28,genesis
gas,32,kia
gas,37,mini
gas,41,mitsubishi
gas,29,kia
gas,38,mini
gas,21,bmw
gas,31,acura
gas,30,audi
gas,33,bmw
gas,26,cadillac
gas,28,chrysler
gas,25,audi
gas,24,hyundai
gas,38,kia
gas,32,mazda
gas,26,genesis
gas,28,jaguar
gas,22,chevrolet
gas,27,cadillac
gas,24,ford
gas,19,bentley
gas,18,bentley
gas,32,chevrolet
gas,31,mini
gas,21,gmc
gas,27,kia
gas,34,audi
gas,30,chevrolet
gas,23,land rover
gas,42,chevrolet
gas,27,hyundai
gas,33,honda
gas,35,hyundai
diesel,36,audi
gas,30,mini
gas,27,land rover
gas,22,nissan
gas,36,hyundai
gas,30,ford
gas,27,jaguar
gas,19,land rover
gas,29,mazda
gas,21,cadillac
gas,31,bmw
gas,28,volvo
gas,22,kia
gas,39,mazda
gas,23,nissan
gas,29,audi
gas,31,subaru
gas,31,audi
gas,19,aston martin
gas,32,honda
gas,22,gmc
gas,29,bmw
gas,23,subaru
gas,22,bmw
gas,24,subaru
gas,27,audi
gas,23,genesis
gas,21,land rover
gas,37,mazda
gas,25,ford
gas,33,hyundai
gas,43,mitsubishi
gas,26,kia
electricity,102,mitsubishi
gas,24,kia
gas,35,mazda
gas,22,roush performance
gas,33,mazda
